# Data from Open Admin Data (https://openadmindata.org/mm/) — CC-BY-4.0. Please cite: https://github.com/open-admin-data/myanmar-administrative-divisions
id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.region,children_count.district,children_count.township,children_count.ward,zip_codes,geo.lat,geo.lon,source_url
MMR001,1,တိုင်းဒေသကြီး/ပြည်နယ်,State/Region,ကချင်ပြည်နယ်,Kachin,kachin-MMR001,MMR001,,,,,,4,33,780,,25.5437,97.2549,https://openadmindata.org/mm/regions/kachin-MMR001/
MMR001001701,3,မြို့နယ်,Township,မြစ်ကြီးနား,Myitkyina,myitkyina-MMR001001701,MMR001001701,,MMR001D001,မြစ်ကြီးနားခရိုင်,Myitkyina,,,,58,,25.38749,97.39036,
MMR001001702,3,မြို့နယ်,Township,ဆင်ဘို,Sinbo,sinbo-MMR001001702,MMR001001702,,MMR001D001,မြစ်ကြီးနားခရိုင်,Myitkyina,,,,3,,24.77923,97.03917,
MMR001002701,3,မြို့နယ်,Township,ဝိုင်းမော်,Waingmaw,waingmaw-MMR001002701,MMR001002701,,MMR001D001,မြစ်ကြီးနားခရိုင်,Myitkyina,,,,45,,25.35099,97.44281,
MMR001002702,3,မြို့နယ်,Township,ဆဒုံး,Sadung,sadung-MMR001002702,MMR001002702,,MMR001D001,မြစ်ကြီးနားခရိုင်,Myitkyina,,,,5,,25.39709,97.89996,
MMR001002703,3,မြို့နယ်,Township,ကန်ပိုက်တီ,Kan Paik Ti,kan-paik-ti-MMR001002703,MMR001002703,,MMR001D001,မြစ်ကြီးနားခရိုင်,Myitkyina,,,,3,,25.40319,98.11739,
MMR001003701,3,မြို့နယ်,Township,အင်ဂျန်းယန်,Injangyang,injangyang-MMR001003701,MMR001003701,,MMR001D001,မြစ်ကြီးနားခရိုင်,Myitkyina,,,,67,,25.82991,97.72671,
MMR001004701,3,မြို့နယ်,Township,တနိုင်း,Tanai,tanai-MMR001004701,MMR001004701,,MMR001D001,မြစ်ကြီးနားခရိုင်,Myitkyina,,,,24,,26.35797,96.71655,
MMR001004702,3,မြို့နယ်,Township,ရှင်ဗွေယန်,Shin Bway Yang,shin-bway-yang-MMR001004702,MMR001004702,,MMR001D001,မြစ်ကြီးနားခရိုင်,Myitkyina,,,,4,,26.69478,96.2094,
MMR001005701,3,မြို့နယ်,Township,ချီဖွေ,Chipwi,chipwi-MMR001005701,MMR001005701,,MMR001D001,မြစ်ကြီးနားခရိုင်,Myitkyina,,,,46,,25.88635,98.12976,
MMR001005702,3,မြို့နယ်,Township,ပန်ဝါ,Pang War,pang-war-MMR001005702,MMR001005702,,MMR001D001,မြစ်ကြီးနားခရိုင်,Myitkyina,,,,3,,25.59866,98.37863,
MMR001006701,3,မြို့နယ်,Township,ဆော့လော်,Tsawlaw,tsawlaw-MMR001006701,MMR001006701,,MMR001D001,မြစ်ကြီးနားခရိုင်,Myitkyina,,,,26,,26.15419,98.27049,
MMR001007701,3,မြို့နယ်,Township,မိုးညှင်း,Mohnyin,mohnyin-MMR001007701,MMR001007701,,MMR001D002,မိုးညှင်းခရိုင်,Mohnyin,,,,44,,24.77711,96.36493,
MMR001007702,3,မြို့နယ်,Township,ဟိုပင်,Hopin,hopin-MMR001007702,MMR001007702,,MMR001D002,မိုးညှင်းခရိုင်,Mohnyin,,,,4,,24.99183,96.53019,
MMR001007703,3,မြို့နယ်,Township,အင်းတော်ကြီး,Inn Taw Gyi,inn-taw-gyi-MMR001007703,MMR001007703,,MMR001D002,မိုးညှင်းခရိုင်,Mohnyin,,,,4,,25.0929,96.2876,
MMR001007704,3,မြို့နယ်,Township,နန့်မွန်း,Nam Mun,nam-mun-MMR001007704,MMR001007704,,MMR001D002,မိုးညှင်းခရိုင်,Mohnyin,,,,4,,25.0047,96.3548,
MMR001007705,3,မြို့နယ်,Township,နန်းမား,Nam Mar,nam-mar-MMR001007705,MMR001007705,,MMR001D002,မိုးညှင်းခရိုင်,Mohnyin,,,,5,,24.87399,96.43625,
MMR001008701,3,မြို့နယ်,Township,မိုးကောင်း,Mogaung,mogaung-MMR001008701,MMR001008701,,MMR001D002,မိုးညှင်းခရိုင်,Mohnyin,,,,51,,25.30274,96.94038,
MMR001008702,3,မြို့နယ်,Township,နမ္မတီး,Nammatee,nammatee-MMR001008702,MMR001008702,,MMR001D002,မိုးညှင်းခရိုင်,Mohnyin,,,,4,,25.37835,97.00896,
MMR001009701,3,မြို့နယ်,Township,ဖားကန့်,Hpakant,hpakant-MMR001009701,MMR001009701,,MMR001D002,မိုးညှင်းခရိုင်,Mohnyin,,,,20,,25.6128,96.31212,
MMR001009702,3,မြို့နယ်,Township,ကာမိုင်း,Kamaing,kamaing-MMR001009702,MMR001009702,,MMR001D002,မိုးညှင်းခရိုင်,Mohnyin,,,,1,,25.5226,96.71153,
MMR001010701,3,မြို့နယ်,Township,ဗန်းမော်,Bhamo,bhamo-MMR001010701,MMR001010701,,MMR001D003,ဗန်းမော်ခရိုင်,Bhamo,,,,61,,24.25493,97.23441,
MMR001011701,3,မြို့နယ်,Township,ရွှေကူ,Shwegu,shwegu-MMR001011701,MMR001011701,,MMR001D003,ဗန်းမော်ခရိုင်,Bhamo,,,,41,,24.20695,96.80606,
MMR001011702,3,မြို့နယ်,Township,မြို့လှ,Myo Hla,myo-hla-MMR001011702,MMR001011702,,MMR001D003,ဗန်းမော်ခရိုင်,Bhamo,,,,0,,24.47856,96.65522,
