id,name.local,name.en,name.slug,code.id,children_count.ward,geo.lat,geo.lon
MMR010029701,မလှိုင်,Mahlaing,mahlaing-MMR010029701,MMR010029701,56,21.09867,95.64698
MMR010028701,မိတ္ထီလာ,Meiktila,meiktila-MMR010028701,MMR010028701,72,20.88189,95.86311
MMR010030701,သာစည်,Thazi,thazi-MMR010030701,MMR010030701,87,20.85019,96.05838
MMR010031701,ဝမ်းတွင်း,Wundwin,wundwin-MMR010031701,MMR010031701,75,21.09691,96.03001
