id,name.local,name.en,name.slug,code.id,children_count.township,children_count.ward,geo.lat,geo.lon
MMR002D002,ဘောလခဲခရိုင်,Bawlake,bawlake-MMR002D002,MMR002D002,4,31,18.9706,97.4553
MMR002D001,လွိုင်ကော်ခရိုင်,Loikaw,loikaw-MMR002D001,MMR002D001,6,93,19.6342,97.2264
