id,name.local,name.en,name.slug,code.id,children_count.township,children_count.ward,geo.lat,geo.lon
MMR013D002,ရန်ကုန်(အရှေ့ပိုင်း),Yangon (East),yangon-east-MMR013D002,MMR013D002,14,362,16.8306,96.1912
MMR013D001,ရန်ကုန်(မြောက်ပိုင်း),Yangon (North),yangon-north-MMR013D001,MMR013D001,12,400,17.1257,96.0209
MMR013D003,ရန်ကုန်(တောင်ပိုင်း),Yangon (South),yangon-south-MMR013D003,MMR013D003,11,489,16.4594,95.9846
MMR013D004,ရန်ကုန်(အနောက်ပိုင်း),Yangon (West),yangon-west-MMR013D004,MMR013D004,12,157,16.8051,96.1417
