id,name.local,name.en,name.slug,code.id,children_count.ward,geo.lat,geo.lon
MMR013005703,အဖျောက်,Ahpyauk,ahpyauk-MMR013005703,MMR013005703,4,17.38239,95.69338
MMR013046701,လှိုင်သာယာ (အရှေ့ပိုင်း),Hlaingtharya (East),hlaingtharya-east-MMR013046701,MMR013046701,14,,96.06893
MMR013047701,လှိုင်သာယာ (အနောက်ပိုင်း),Hlaingtharya (West),hlaingtharya-west-MMR013047701,MMR013047701,15,,96.06893
MMR013004701,လှည်းကူး,Hlegu,hlegu-MMR013004701,MMR013004701,59,17.09875,96.22745
MMR013003701,မှော်ဘီ,Hmawbi,hmawbi-MMR013003701,MMR013003701,43,17.09987,96.0418
MMR013006701,ထန်းတပင်,Htantabin,htantabin-MMR013006701,MMR013006701,94,17.0174,95.9827
MMR013002702,ထောက်ကြန့်,Htaukkyant,htaukkyant-MMR013002702,MMR013002702,13,17.04276,96.13231
MMR013001701,အင်းစိန်,Insein,insein-MMR013001701,MMR013001701,21,16.90177,96.09596
MMR013002701,မင်္ဂလာဒုံ,Mingaladon,mingaladon-MMR013002701,MMR013002701,19,16.94914,96.12795
MMR013005702,ဥက္ကံ,Okekan,okekan-MMR013005702,MMR013005702,8,17.49696,95.8607
MMR013007701,ရွှေပြည်သာ,Shwepyithar,shwepyithar-MMR013007701,MMR013007701,27,16.95504,96.08329
MMR013005701,တိုက်ကြီး,Taikkyi,taikkyi-MMR013005701,MMR013005701,83,17.31263,95.96344
