id,name.local,name.en,name.slug,code.id,children_count.township,children_count.ward,geo.lat,geo.lon
MMR006D001,ထားဝယ်ခရိုင်,Dawei,dawei-MMR006D001,MMR006D001,6,175,14.1591,98.24
MMR006D003,ကော့သောင်းခရိုင်,Kawthoung,kawthoung-MMR006D003,MMR006D003,5,59,10.8005,98.7391
MMR006D002,မြိတ်ခရိုင်,Myeik,myeik-MMR006D002,MMR006D002,7,124,12.5566,98.8049
