id,name.local,name.en,name.slug,code.id,children_count.ward,geo.lat,geo.lon
MMR001005701,ချီဖွေ,Chipwi,chipwi-MMR001005701,MMR001005701,46,25.88635,98.12976
MMR001003701,အင်ဂျန်းယန်,Injangyang,injangyang-MMR001003701,MMR001003701,67,25.82991,97.72671
MMR001002703,ကန်ပိုက်တီ,Kan Paik Ti,kan-paik-ti-MMR001002703,MMR001002703,3,25.40319,98.11739
MMR001001701,မြစ်ကြီးနား,Myitkyina,myitkyina-MMR001001701,MMR001001701,58,25.38749,97.39036
MMR001005702,ပန်ဝါ,Pang War,pang-war-MMR001005702,MMR001005702,3,25.59866,98.37863
MMR001002702,ဆဒုံး,Sadung,sadung-MMR001002702,MMR001002702,5,25.39709,97.89996
MMR001004702,ရှင်ဗွေယန်,Shin Bway Yang,shin-bway-yang-MMR001004702,MMR001004702,4,26.69478,96.2094
MMR001001702,ဆင်ဘို,Sinbo,sinbo-MMR001001702,MMR001001702,3,24.77923,97.03917
MMR001004701,တနိုင်း,Tanai,tanai-MMR001004701,MMR001004701,24,26.35797,96.71655
MMR001006701,ဆော့လော်,Tsawlaw,tsawlaw-MMR001006701,MMR001006701,26,26.15419,98.27049
MMR001002701,ဝိုင်းမော်,Waingmaw,waingmaw-MMR001002701,MMR001002701,45,25.35099,97.44281
