id,name.local,name.en,name.slug,code.id,children_count.ward,geo.lat,geo.lon
MMR012017701,ဂွ,Gwa,gwa-MMR012017701,MMR012017701,36,17.59369,94.57996
MMR012017702,ကျိန္တလီ,Kyeintali,kyeintali-MMR012017702,MMR012017702,3,18.00712,94.49141
MMR012016702,မအီ,Ma-Ei,ma-ei-MMR012016702,MMR012016702,4,19.34234,94.13845
MMR012015702,ငပလီ,Ngapali,ngapali-MMR012015702,MMR012015702,5,18.43755,94.3206
MMR012016703,တန်းလွဲရွာမ,Tan Hlwe Ywar Ma,tan-hlwe-ywar-ma-MMR012016703,MMR012016703,6,18.99829,94.12645
MMR012015701,သံတွဲ,Thandwe,thandwe-MMR012015701,MMR012015701,67,18.4662,94.3677
MMR012016701,တောင်ကုတ်,Toungup,toungup-MMR012016701,MMR012016701,57,18.85353,94.23972
