id,name.local,name.en,name.slug,code.id,children_count.ward,geo.lat,geo.lon
MMR001018701,ခေါင်လန်ဖူး,Khaunglanhpu,khaunglanhpu-MMR001018701,MMR001018701,28,27.06043,98.36034
MMR001016701,မချမ်းဘော,Machanbaw,machanbaw-MMR001016701,MMR001016701,31,27.28395,97.58937
MMR001017701,နောင်မွန်း,Nawngmun,nawngmun-MMR001017701,MMR001017701,18,27.50532,97.81785
MMR001017702,ပန်နန်းဒင်,Pannandin,pannandin-MMR001017702,MMR001017702,1,27.7281,97.87662
MMR001014701,ပူတာအို,Puta-O,puta-o-MMR001014701,MMR001014701,25,27.29934,97.4159
MMR001015701,ဆွမ်ပရာဘွမ်,Sumprabum,sumprabum-MMR001015701,MMR001015701,44,26.54373,97.5677
