id,name.local,name.en,name.slug,code.id,children_count.ward,geo.lat,geo.lon
MMR005024701,ကောလင်း,Kawlin,kawlin-MMR005024701,MMR005024701,54,23.79026,95.68339
MMR005026701,ပင်လည်ဘူး,Pinlebu,pinlebu-MMR005026701,MMR005026701,54,24.08089,95.37026
MMR005025701,ဝန်းသို,Wuntho,wuntho-MMR005025701,MMR005025701,42,23.89924,95.68193
