id,name.local,name.en,name.slug,code.id,children_count.ward,geo.lat,geo.lon
MMR006010701,ဘုတ်ပြင်း,Bokpyin,bokpyin-MMR006010701,MMR006010701,22,11.26504,98.75909
MMR006010703,ကရသူရိ,Karathuri,karathuri-MMR006010703,MMR006010703,3,10.93336,98.75998
MMR006009701,ကော့သောင်း,Kawthoung,kawthoung-MMR006009701,MMR006009701,28,9.98261,98.54995
MMR006009702,ခမောက်ကြီး,Khamaukgyi,khamaukgyi-MMR006009702,MMR006009702,3,10.353,98.625
MMR006010702,ပြည်ကြီးမဏ္ဍိုင်,Pyigyimandaing,pyigyimandaing-MMR006010702,MMR006010702,3,11.46842,99.00144
