id,name.local,name.en,name.slug,code.id,children_count.township,children_count.ward,geo.lat,geo.lon
MMR015D006,ဟိုပန်ခရိုင်,Hopang,hopang-MMR015D006,MMR015D006,2,72,23.3409,98.768
MMR016D001,ကျိုင်းတုံခရိုင်,Kengtung,kengtung-MMR016D001,MMR016D001,6,127,21.5395,99.5145
MMR015D003,ကျောက်မဲခရိုင်,Kyaukme,kyaukme-MMR015D003,MMR015D003,8,306,22.7949,97.0533
MMR014D003,လင်းခေးခရိုင်,Langkho,langkho-MMR014D003,MMR014D003,6,83,20.3219,98.0375
MMR015D001,လားရှိုးခရိုင်,Lashio,lashio-MMR015D001,MMR015D001,5,247,22.9204,98.1615
MMR015D005,လောက်ကိုင်ခရိုင်,Laukkaing,laukkaing-MMR015D005,MMR015D005,4,84,23.7727,98.7311
MMR014D002,လွိုင်လင်ခရိုင်,Loilen,loilen-MMR014D002,MMR014D002,12,202,21.3759,97.978
MMR015D007,မက်မန်းခရိုင်,Matman,matman-MMR015D007,MMR015D007,3,121,22.2732,98.8788
MMR015D331,မိုင်းမော-ဝအထူးဒေသ (၂),Mong Maw (Wa SAD),mong-maw-wa-sad-MMR015D331,MMR015D331,1,5,23.4758,98.8672
MMR016D002,မိုင်းဆတ်ခရိုင်,Monghsat,monghsat-MMR016D002,MMR016D002,5,64,20.2473,99.0232
MMR015D008,မိုးမိတ်ခရိုင်,Mongmit,mongmit-MMR015D008,MMR015D008,2,56,23.2936,96.6496
MMR015D002,မူဆယ်ခရိုင်,Muse,muse-MMR015D002,MMR015D002,7,235,23.8556,97.9702
MMR016D003,တာချီလိတ်ခရိုင်,Tachileik,tachileik-MMR016D003,MMR016D003,6,86,20.9035,100.2239
MMR014D001,တောင်ကြီးခရိုင်,Taunggyi,taunggyi-MMR014D001,MMR014D001,19,389,20.6322,96.8577
