id,name.local,name.en,name.slug,code.id,children_count.ward,geo.lat,geo.lon
MMR017012702,ဘက်ရဲ,Batye,batye-MMR017012702,MMR017012702,2,18.30044,95.14703
MMR017008703,ဒူးယား,Du Yar,du-yar-MMR017008703,MMR017008703,5,17.5616,95.4802
MMR017008701,ဟင်္သာတ,Hinthada,hinthada-MMR017008701,MMR017008701,124,17.64958,95.45818
MMR017013702,ထူးကြီး,Htoogyi,htoogyi-MMR017013702,MMR017013702,5,17.97132,95.26073
MMR017011703,အင်ပင်,In Pin,in-pin-MMR017011703,MMR017011703,4,18.0935,95.269
MMR017013701,အင်္ဂပူ,Ingapu,ingapu-MMR017013701,MMR017013701,77,17.80981,95.26926
MMR017011702,ကနောင်,Kanaung,kanaung-MMR017011702,MMR017011702,5,18.21566,95.38137
MMR017012701,ကြံခင်း,Kyangin,kyangin-MMR017012701,MMR017012701,33,18.34035,95.23914
MMR017010701,လေးမျက်နှာ,Lemyethna,lemyethna-MMR017010701,MMR017010701,48,17.60038,95.17454
MMR017013703,မဲဇလီကုန်း,Me Za Li Kone,me-za-li-kone-MMR017013703,MMR017013703,4,17.9009,95.2288
MMR017011701,မြန်အောင်,Myanaung,myanaung-MMR017011701,MMR017011701,64,18.28696,95.31779
MMR017008702,တလုတ္ထော်,Ta Loke Htaw,ta-loke-htaw-MMR017008702,MMR017008702,5,17.6419,95.3046
MMR017009701,ဇလွန်,Zalun,zalun-MMR017009701,MMR017009701,71,17.4781,95.55666
