id,name.local,name.en,name.slug,code.id,children_count.ward,geo.lat,geo.lon
MMR009016701,အောင်လံ,Aunglan,aunglan-MMR009016701,MMR009016701,101,19.35855,95.21684
MMR009015701,ကံမ,Kamma,kamma-MMR009015701,MMR009015701,56,19.02897,95.09594
MMR009014701,မင်းတုန်း,Mindon,mindon-MMR009014701,MMR009014701,76,19.35131,94.73233
MMR009013701,မင်းလှ,Minhla,minhla-MMR009013701,MMR009013701,0,19.96559,95.0367
MMR009017701,ဆင်ပေါင်ဝဲ,Sinbaungwe,sinbaungwe-MMR009017701,MMR009017701,49,19.72292,95.16186
MMR009012701,သရက်,Thayet,thayet-MMR009012701,MMR009012701,61,19.3215,95.17716
